S,1,20060411INTWB1T RIB00100029458,04,3,ebap1t,,,,,SRIBD110A,20060411,14270901,,0017167,02088,0001158093,TDANIDB,D0,SSSD0041A001,,,,,,,RIBD113001 1,0155290298,10.160.63.160 , , , ,
F,2,20060411INTWB1T RIB00100029458,04,3,ebap1t,,,,,SRIBD110A,20060411,14270902,,0017167,02088,0001158093,TDANIDB,D0,SSSD0041A001,,,,,,,RIBD113001 1,0155290298,10.160.63.160 , , , ,
S,1,20060411INTWB1T RIB00100029459,02,3,ebap1t,,,,,SRIBE020A,20060411,14271177,,0021463,01396,0001159623,TDANIDB,D0,,,,,,,,RIBE212001,0155290298,10.160.64.71 , , , ,
I,I,20060411INTWB1T RIB00100029459,02,3,ebap1t,SRIBE020A,20060411,14271178,E2120 ,mrib0001a.pc         ,                                                                                                                                                                                               
F,2,20060411INTWB1T RIB00100029459,02,3,ebap1t,,,,,SRIBE020A,20060411,14271180,,0021463,01396,0001159623,TDANIDB,D0,,,,,,,,RIBE212001 0,0155290298,10.160.64.71 , , , ,
S,1,20060411INTWB1T RIB00100029460,02,3,ebap1t,,,,,SRIBE020A,20060411,14271904,,0021463,01396,0001159623,TDANIDB,D0,,,,,,,,RIBE214201,0155290298,10.160.64.71 , , , ,
I,I,20060411INTWB1T RIB00100029460,02,3,ebap1t,SRIBE020A,20060411,14271904,E2142 ,mrib0001a.pc         ,                                                                                                                                                                                               
F,2,20060411INTWB1T RIB00100029460,02,3,ebap1t,,,,,SRIBE020A,20060411,14271906,,0021463,01396,0001159623,TDANIDB,D0,SSDM0020B001,,,,,,,RIBE214201,0155290298,10.160.64.71 , , , ,
S,1,20060411INTWB1T RIB00100029460,04,3,ebap1t,,,,,SRIBE120A,20060411,14272012,,0017750,01458,0001158113,TDANIDB,D0,SSDM0020B001,,,,,,,RIBE214201 0,0155290298,10.160.64.71 , , , ,
F,2,20060411INTWB1T RIB00100029460,04,3,ebap1t,,,,,SRIBE120A,20060411,14272015,,0017750,01458,0001158113,TDANIDB,D0,SSDM0020B001,,,,,,,RIBE214201 1,0155290298,10.160.64.71 , , , ,
S,1,20060411INTWB1T RIB00100029461,02,3,ebap1t,,,,,SRIBD010A,20060411,14272762,,0012842,01246,0001158022,TDANIDB,D0,,,,,,,,RIBD114001,0155290298,10.160.63.160 , , , ,
F,2,20060411INTWB1T RIB00100029461,02,3,ebap1t,,,,,SRIBD010A,20060411,14272764,,0012842,01246,0001158022,TDANIDB,D0,SSTS0040A001,,,,,,,RIBD114001,0155290298,10.160.63.160 , , , ,
S,1,20060411INTWB1T RIB00100029461,04,3,ebap1t,,,,,SRIBD110A,20060411,14272797,,0017167,02088,0001158093,TDANIDB,D0,SSTS0040A001,,,,,,,RIBD114001 1,0155290298,10.160.63.160 , , , ,
F,2,20060411INTWB1T RIB00100029461,04,3,ebap1t,,,,,SRIBD110A,20060411,14272798,,0017167,02088,0001158093,TDANIDB,D0,SSTS0040A001,,,,,,,RIBD114001 1,0155290298,10.160.63.160 , , , ,
S,1,20060411INTWB1T RIB00100029462,02,3,ebap1t,,,,,SRIBF020A,20060411,14284136,,0013773,01806,0001158048,TDANIDB,D0,,,,,,,,RIBF252001,0303508063,203.227.167.65 , , , ,
F,2,20060411INTWB1T RIB00100029462,02,3,ebap1t,,,,,SRIBF020A,20060411,14284138,,0013773,01806,0001158048,TDANIDB,D0,SFNC5840BA01,,,,,,,RIBF252001,0303508063,203.227.167.65 , , , ,
S,1,20060411INTWB1T RIB00100029462,04,3,ebap1t,,,,,SRIBF120A,20060411,14284171,,0018052,02049,0001158118,TDANIDB,D0,SFNC5840BA01,,,,,,,RIBF252001 1,0303508063,203.227.167.65 , , , ,
F,2,20060411INTWB1T RIB00100029462,04,3,ebap1t,,,,,SRIBF120A,20060411,14284171,,0018052,02049,0001158118,TDANIDB,D0,SFNC5840BA01,,,,,,,RIBF252001 1,0303508063,203.227.167.65 , , , ,
S,1,20060411devap00123142931321015,00,5,coreapd,,,,,SPFMIPPR,20060411,142931326264,,0029756,1036,5754,5754,A0,SPFM0001A001,,1000,5078,,,,,, , , , ,
I,I,20060411devap00123142931321015,00,5,coreapd,SPFM0001A,20060411,142931691029,=- TXBEGIN_SVC_DONE[] -=
I,T,20060411devap00123142931321015,00,5,coreapd,SPFM0001A,20060411,142931691284,* DLCALL [mpfmsinit] 입구 tdlseqno [1144733324]
I,T,20060411devap00123142931321015,00,5,coreapd,SPFM0001A,20060411,142931700242,* DLCALL [mpfmscntl] 입구 tdlseqno [1144733324]
I,T,20060411devap00123142931321015,00,5,coreapd,SPFM0001A,20060411,142931702838,* DLCALL [mpfmscntl] 출구 RC [0][0] ERRCODE [] [00.002596]
I,T,20060411devap00123142931321015,00,5,coreapd,SPFM0001A,20060411,142931897618,* DLCALL [mpfm_is_testsvr] 입구 tdlseqno [1144733324]
