S,1,20060411INTWB1T RIB00100029574,04,3,ebap1t,,,,,SRIBF130A,20060411,15255372,,0018129,02172,0001158119,TDANIDB,D0,SFER6040A001,,,,,,,RIBF373001 0,0000026046,203.227.167.65 , , , ,
F,2,20060411INTWB1T RIB00100029574,04,3,ebap1t,,,,,SRIBF130A,20060411,15255372,,0018129,02172,0001158119,TDANIDB,D0,SFER6040A001,,,,,,,RIBF373001 0,0000026046,203.227.167.65 , , , ,
S,1,20060411devap00123152703083061,00,5,coreapd,,,,,SPFMIPPR,20060411,152703086901,,0013220,1030,5760,5760,,SPFMSELFCHK0,,1000,1237,,,,,, , , , ,
S,1,20060411devap00123152704186767,00,5,coreapd,,,,,SPFMIPPR,20060411,152704190417,,0013220,1030,5760,5760,,SPFMSELFCHK0,,1000,1237,,,,,, , , , ,
S,1,20060411devap00124152705528926,00,5,coreapd,,,,,SPFMIPPR,20060411,152705533154,,0013220,1030,5760,5760,,SPFMSELFCHK0,,1000,1237,,,,,, , , , ,
S,1,20060411INTWB1T RIB00100029575,02,3,ebap1t,,,,,SRIBF030A,20060411,15271109,,0013820,02031,0001158049,TDANIDB,D0,,,,,,,,RIBF373001,0000026046,203.227.167.52 , , , ,
F,2,20060411INTWB1T RIB00100029575,02,3,ebap1t,,,,,SRIBF030A,20060411,15271112,,0013820,02031,0001158049,TDANIDB,D0,SFER6040A001,,,,,,,RIBF373001,0000026046,203.227.167.52 , , , ,
S,1,20060411INTWB1T RIB00100029575,04,3,ebap1t,,,,,SRIBF130A,20060411,15271330,,0018129,02172,0001158119,TDANIDB,D0,SFER6040A001,,,,,,,RIBF373001 0,0000026046,203.227.167.52 , , , ,
F,2,20060411INTWB1T RIB00100029575,04,3,ebap1t,,,,,SRIBF130A,20060411,15271330,,0018129,02172,0001158119,TDANIDB,D0,SFER6040A001,,,,,,,RIBF373001 0,0000026046,203.227.167.52 , , , ,
S,1,20060411INTWB1T RIB00100029576,02,3,ebap1t,,,,,SRIBE020A,20060411,15271562,,0021463,01396,0001159623,TDANIDB,D0,,,,,,,,RIBE212001,0155290298,10.160.64.71 , , , ,
